GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Dial-up alone,Margin of Error; Total: - With an Internet subscription - Dial-up alone,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL",Estimate; Total: - With an Internet subscription - Satellite Internet service,Margin of Error; Total: - With an Internet subscription - Satellite Internet service,Estimate; Total: - With an Internet subscription - Other service,Margin of Error; Total: - With an Internet subscription - Other service,Estimate; Total: - Internet access without a subscription,Margin of Error; Total: - Internet access without a subscription,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
1400000US42077001800,42077001800,"Census Tract 18, Lehigh County, Pennsylvania",1647,128,1117,136,0,10,879,138,80,46,0,10,42,36,488,121
1400000US42077001900,42077001900,"Census Tract 19, Lehigh County, Pennsylvania",1716,109,980,132,8,13,844,117,48,35,5,10,131,72,605,108
1400000US42077002000,42077002000,"Census Tract 20, Lehigh County, Pennsylvania",1814,152,1229,161,29,24,1021,167,34,42,0,15,84,59,501,176
1400000US42077002100,42077002100,"Census Tract 21, Lehigh County, Pennsylvania",2794,116,1919,217,0,15,1751,224,74,51,43,67,40,40,835,217
1400000US42077002201,42077002201,"Census Tract 22.01, Lehigh County, Pennsylvania",1752,95,1549,115,42,45,1335,133,24,28,0,10,16,19,187,69
1400000US42077002202,42077002202,"Census Tract 22.02, Lehigh County, Pennsylvania",831,68,486,71,0,10,451,70,17,14,0,10,34,38,311,43
1400000US42077002301,42077002301,"Census Tract 23.01, Lehigh County, Pennsylvania",3010,103,2571,157,14,22,2498,166,43,40,19,29,25,28,414,130
1400000US42077002302,42077002302,"Census Tract 23.02, Lehigh County, Pennsylvania",1077,55,921,58,17,18,842,66,12,19,0,10,15,17,141,41
1400000US42077005100,42077005100,"Census Tract 51, Lehigh County, Pennsylvania",1822,107,1317,146,0,10,1185,149,8,13,8,13,98,59,407,109
1400000US42077005200,42077005200,"Census Tract 52, Lehigh County, Pennsylvania",2751,150,2075,160,28,33,1849,165,28,33,0,15,113,89,563,181
1400000US42077005301,42077005301,"Census Tract 53.01, Lehigh County, Pennsylvania",1306,93,1048,102,8,13,1011,102,104,52,0,10,60,55,198,78
1400000US42077005302,42077005302,"Census Tract 53.02, Lehigh County, Pennsylvania",1684,116,1473,111,16,18,1212,106,86,51,47,39,36,34,175,73
1400000US42077005401,42077005401,"Census Tract 54.01, Lehigh County, Pennsylvania",813,44,737,47,0,10,677,50,25,16,0,10,7,7,69,39
1400000US42077005402,42077005402,"Census Tract 54.02, Lehigh County, Pennsylvania",1892,78,1550,115,64,68,1304,116,54,35,63,56,57,37,285,87
1400000US42077005503,42077005503,"Census Tract 55.03, Lehigh County, Pennsylvania",1561,83,1428,89,59,45,1309,96,32,30,8,13,24,25,109,53
1400000US42077005504,42077005504,"Census Tract 55.04, Lehigh County, Pennsylvania",1796,94,1497,103,43,40,1348,113,67,43,0,10,64,44,235,80
1400000US42077005505,42077005505,"Census Tract 55.05, Lehigh County, Pennsylvania",1320,52,1144,77,10,15,1089,78,18,20,10,16,47,47,129,66
1400000US42077005506,42077005506,"Census Tract 55.06, Lehigh County, Pennsylvania",1516,72,1149,115,21,24,1033,112,30,27,30,23,20,22,347,121
1400000US42077005601,42077005601,"Census Tract 56.01, Lehigh County, Pennsylvania",1952,95,1580,128,26,31,1423,140,65,37,15,16,57,61,315,121
1400000US42077005602,42077005602,"Census Tract 56.02, Lehigh County, Pennsylvania",1964,124,1719,124,43,62,1603,129,104,73,0,10,40,40,205,85
1400000US42077005702,42077005702,"Census Tract 57.02, Lehigh County, Pennsylvania",1838,125,1274,154,0,10,1197,176,27,36,0,10,10,16,554,144
1400000US42077005703,42077005703,"Census Tract 57.03, Lehigh County, Pennsylvania",1476,78,1113,129,0,10,971,120,95,76,42,40,102,69,261,85
1400000US42077005704,42077005704,"Census Tract 57.04, Lehigh County, Pennsylvania",1430,52,1219,102,8,13,1167,101,55,39,9,14,62,61,149,71
1400000US42077005705,42077005705,"Census Tract 57.05, Lehigh County, Pennsylvania",2323,67,1780,138,34,39,1568,157,99,53,0,15,45,44,498,145
1400000US42077005800,42077005800,"Census Tract 58, Lehigh County, Pennsylvania",1446,85,1094,105,0,10,1001,103,43,25,9,14,12,14,340,100
1400000US42077005901,42077005901,"Census Tract 59.01, Lehigh County, Pennsylvania",2736,185,2145,184,11,18,1841,211,159,75,13,20,66,57,525,172
1400000US42077005902,42077005902,"Census Tract 59.02, Lehigh County, Pennsylvania",717,48,583,43,7,7,538,46,11,9,16,21,22,17,112,31
1400000US42077006001,42077006001,"Census Tract 60.01, Lehigh County, Pennsylvania",1836,83,1579,103,27,34,1494,99,25,30,6,10,10,15,247,84
1400000US42077006002,42077006002,"Census Tract 60.02, Lehigh County, Pennsylvania",2133,125,1859,144,16,25,1783,148,57,46,6,11,87,106,187,99
1400000US42077006101,42077006101,"Census Tract 61.01, Lehigh County, Pennsylvania",1428,91,1113,88,9,14,1047,91,49,45,17,20,57,42,258,71
1400000US42077006102,42077006102,"Census Tract 61.02, Lehigh County, Pennsylvania",2179,105,1885,112,9,15,1792,107,100,91,10,15,105,63,189,85
1400000US42077006202,42077006202,"Census Tract 62.02, Lehigh County, Pennsylvania",4334,169,3805,245,0,16,3677,232,54,43,0,16,73,57,456,174
1400000US42077006203,42077006203,"Census Tract 62.03, Lehigh County, Pennsylvania",3146,143,2634,167,0,15,2517,172,121,94,0,15,71,63,441,179
1400000US42077006204,42077006204,"Census Tract 62.04, Lehigh County, Pennsylvania",1360,82,1227,82,0,10,1194,77,35,27,0,10,16,19,117,59
1400000US42077006302,42077006302,"Census Tract 63.02, Lehigh County, Pennsylvania",2588,131,2289,147,4,6,2092,153,102,55,5,9,8,9,291,109
1400000US42077006303,42077006303,"Census Tract 63.03, Lehigh County, Pennsylvania",1385,81,1134,86,0,10,1079,79,17,21,0,10,49,33,202,59
1400000US42077006304,42077006304,"Census Tract 63.04, Lehigh County, Pennsylvania",1552,75,1326,93,22,24,1243,85,40,26,0,10,77,41,149,55
1400000US42077006305,42077006305,"Census Tract 63.05, Lehigh County, Pennsylvania",2677,105,2480,115,30,33,2322,173,50,48,59,53,97,57,100,58
1400000US42077006307,42077006307,"Census Tract 63.07, Lehigh County, Pennsylvania",3607,131,3197,181,0,15,3002,196,178,85,0,15,86,59,324,121
1400000US42077006308,42077006308,"Census Tract 63.08, Lehigh County, Pennsylvania",2965,118,2633,158,0,15,2540,164,78,48,33,36,53,42,279,123
1400000US42077006401,42077006401,"Census Tract 64.01, Lehigh County, Pennsylvania",1255,65,1080,80,0,10,1035,87,69,42,32,48,44,35,131,61
1400000US42077006402,42077006402,"Census Tract 64.02, Lehigh County, Pennsylvania",1910,85,1554,100,9,14,1432,110,52,31,9,14,98,50,258,77
1400000US42077006500,42077006500,"Census Tract 65, Lehigh County, Pennsylvania",2573,148,1829,171,21,32,1554,182,68,55,0,15,118,93,626,150
1400000US42077006600,42077006600,"Census Tract 66, Lehigh County, Pennsylvania",2191,102,1929,123,61,58,1826,136,60,43,13,23,47,58,215,94
1400000US42077006701,42077006701,"Census Tract 67.01, Lehigh County, Pennsylvania",1940,103,1644,109,30,26,1525,108,58,38,31,30,43,33,253,74
1400000US42077006702,42077006702,"Census Tract 67.02, Lehigh County, Pennsylvania",1094,79,931,98,16,18,862,99,20,19,53,61,16,23,147,62
1400000US42077006703,42077006703,"Census Tract 67.03, Lehigh County, Pennsylvania",2326,109,2030,116,41,41,1872,139,112,90,0,15,27,30,269,108
1400000US42077006800,42077006800,"Census Tract 68, Lehigh County, Pennsylvania",2032,145,1500,145,9,14,1356,148,72,45,25,40,24,26,508,110
1400000US42077006902,42077006902,"Census Tract 69.02, Lehigh County, Pennsylvania",940,49,738,62,4,6,637,67,5,7,33,33,48,33,154,48
1400000US42077006903,42077006903,"Census Tract 69.03, Lehigh County, Pennsylvania",2129,124,1766,152,16,25,1650,143,52,37,0,15,109,96,254,108
1400000US42077006905,42077006905,"Census Tract 69.05, Lehigh County, Pennsylvania",1875,97,1697,112,24,22,1596,110,33,29,20,21,68,68,110,49
1400000US42077006906,42077006906,"Census Tract 69.06, Lehigh County, Pennsylvania",1543,85,1352,99,0,10,1305,99,96,54,42,52,56,51,135,65
1400000US42077007000,42077007000,"Census Tract 70, Lehigh County, Pennsylvania",1434,65,1225,99,8,12,1153,104,7,12,62,54,34,43,175,75
1400000US42077009100,42077009100,"Census Tract 91, Lehigh County, Pennsylvania",1663,94,1245,110,6,9,1185,120,42,49,10,15,123,59,295,79
1400000US42077009200,42077009200,"Census Tract 92, Lehigh County, Pennsylvania",1732,96,1389,108,0,10,1264,120,23,24,0,10,73,41,270,80
1400000US42077009300,42077009300,"Census Tract 93, Lehigh County, Pennsylvania",1408,72,1134,98,47,33,1043,90,96,52,20,24,42,32,232,73
1400000US42077009400,42077009400,"Census Tract 94, Lehigh County, Pennsylvania",1686,79,1172,140,0,10,1101,147,28,45,23,33,82,69,432,120
1400000US42077009500,42077009500,"Census Tract 95, Lehigh County, Pennsylvania",2040,132,1725,165,48,36,1501,141,0,10,0,10,18,30,297,134
1400000US42077009600,42077009600,"Census Tract 96, Lehigh County, Pennsylvania",2794,172,1958,239,9,14,1701,249,97,93,17,28,221,117,615,184
1400000US42077009700,42077009700,"Census Tract 97, Lehigh County, Pennsylvania",1474,132,790,134,7,11,628,109,9,13,7,11,22,32,662,144
1400000US42079200100,42079200100,"Census Tract 2001, Luzerne County, Pennsylvania",747,70,339,75,4,7,286,74,7,10,7,10,15,13,393,68
1400000US42079200200,42079200200,"Census Tract 2002, Luzerne County, Pennsylvania",1293,127,1063,128,0,10,818,110,118,81,9,14,21,19,209,85
1400000US42079200300,42079200300,"Census Tract 2003, Luzerne County, Pennsylvania",741,58,644,63,7,9,513,69,48,41,0,10,10,11,87,35
1400000US42079200400,42079200400,"Census Tract 2004, Luzerne County, Pennsylvania",924,109,614,98,13,20,495,89,31,23,0,10,62,61,248,91
1400000US42079200500,42079200500,"Census Tract 2005, Luzerne County, Pennsylvania",1068,123,739,121,22,27,562,109,68,52,29,41,134,71,195,71
1400000US42079200600,42079200600,"Census Tract 2006, Luzerne County, Pennsylvania",844,85,568,68,20,18,465,67,62,36,0,10,24,18,252,68
1400000US42079200700,42079200700,"Census Tract 2007, Luzerne County, Pennsylvania",1326,120,913,113,18,23,690,116,60,66,0,10,35,41,378,103
1400000US42079200800,42079200800,"Census Tract 2008, Luzerne County, Pennsylvania",1392,130,780,135,0,10,630,133,34,39,0,10,62,37,550,109
1400000US42079200900,42079200900,"Census Tract 2009, Luzerne County, Pennsylvania",1460,121,891,137,23,32,698,106,103,89,23,24,48,38,521,111
1400000US42079201000,42079201000,"Census Tract 2010, Luzerne County, Pennsylvania",909,121,562,108,10,17,370,105,32,32,4,12,62,62,285,89
1400000US42079201100,42079201100,"Census Tract 2011, Luzerne County, Pennsylvania",440,82,342,72,11,12,290,72,37,39,0,10,0,10,98,50
1400000US42079201200,42079201200,"Census Tract 2012, Luzerne County, Pennsylvania",567,81,445,81,0,10,399,76,0,10,16,21,19,17,103,37
1400000US42079201300,42079201300,"Census Tract 2013, Luzerne County, Pennsylvania",824,76,566,76,6,10,486,70,45,28,0,10,78,42,180,59
1400000US42079201400,42079201400,"Census Tract 2014, Luzerne County, Pennsylvania",900,90,520,86,0,10,392,65,41,25,17,15,0,10,380,97
1400000US42079201500,42079201500,"Census Tract 2015, Luzerne County, Pennsylvania",926,75,736,84,15,11,631,79,32,24,15,15,17,17,173,47
1400000US42079201600,42079201600,"Census Tract 2016, Luzerne County, Pennsylvania",1153,127,792,139,9,14,699,124,46,33,12,15,59,54,302,97
1400000US42079210100,42079210100,"Census Tract 2101, Luzerne County, Pennsylvania",1364,92,998,90,25,40,907,98,42,29,10,17,31,27,335,93
1400000US42079210200,42079210200,"Census Tract 2102, Luzerne County, Pennsylvania",1071,70,783,65,7,12,699,58,38,27,8,13,59,50,229,49
1400000US42079210300,42079210300,"Census Tract 2103, Luzerne County, Pennsylvania",1065,52,841,55,0,10,736,58,55,33,5,9,19,14,205,46
