date_submitted,ideal_adoption_timeline,reason_for_adoption,specific_animal,adults_in_home,children_in_home,all_household_agree,allergies,home_owner,home_pet_policy,experience,budget_monthly,budget_emergency,home_alone_avg,home_alone_max,pet_kept,exercise,needs,return_pet,how_heard,outcome_trello_id,City,State,ZIP,animal_type
12/22/2018,today,"myself,my-kids,mouser",TRUE,2,1,yes,no-allergies,myself,NA,"grew-up-with-pet,lived-wit-previous-housemates-pets",250,250,5,5,inside-only,"toy-mice,not-much",scratching-post,becomes-aggressive,website,5c1ebcd416ba2112af7da910,PHILADELPHIA,PA,19120,cat
12/22/2018,today,my-kids,FALSE,0,1,yes,no-allergies,company,yes,"lived-wit-previous-housemates-pets,grew-up-with-pet",300,300,7,8,inside-only,"toy-mice,not-much",not-sure,becomes-aggressive,NA,NA,DARBY,PA,19023,cat
12/22/2018,today,myself,FALSE,1,0,yes,no-allergies,myself,NA,grew-up-with-pet,500,2e3,4,4,inside-with-yard-access,"wand-toys,toy-mice",nail-clip,none,NA,NA,PHILADELPHIA,PA,19111,cat
12/22/2018,today,myself,TRUE,2,0,yes,"not-sure,no-allergies",family-member-or-friend,NA,grew-up-with-pet,150,100,NA,4,inside-only,"toy-mice,wand-toys",scratching-post,none,website,NA,PHILADELPHIA,PA,19114,cat
12/22/2018,one-month-or-more,myself,TRUE,1,0,yes,no-allergies,company,yes,lived-wit-previous-housemates-pets,100,500,6,6,"inside-only,inside-outside","toy-mice,wand-toys","not-sure,scratching-post","none,allergies-appear",website,NA,PHILADELPHIA,PA,19130,cat
12/22/2018,today,"my-kids,myself",FALSE,1,1,yes,no-allergies,myself,NA,"euthanized-a-pet,grew-up-with-pet",100,500,6,6,inside-only,"toy-mice,wand-toys",scratching-post,"none,becomes-aggressive",NA,NA,PHILADELPHIA,PA,19050,cat
12/22/2018,today,myself,FALSE,1,2,yes,no-allergies,myself,NA,currently-have-pet,200,1e3,8,8,inside-only,"toy-mice,wand-toys",not-sure,becomes-aggressive,NA,NA,YEADON,PA,19050,cat
12/22/2018,one-month-or-more,myself,TRUE,1,0,yes,no-allergies,company,yes,"euthanized-a-pet,grew-up-with-pet",500,1e4,8,12,inside-only,wand-toys,"nail-clip,scratching-post",none,other,NA,PHILADELPHIA,PA,19146,cat
12/22/2018,one-month-or-more,"myself,my-kids",FALSE,1,5,yes,no-allergies,company,havent-asked,never-lived-with-or-owned-a-pet-before,100,100,8,8,inside-with-yard-access,"toy-mice,wand-toys,not-much","nail-clip,scratching-post",allergies-appear,NA,NA,PHILADELPHIA,PA,19139,cat
12/22/2018,one-month-or-more,"myself,my-kids",TRUE,2,2,yes,no-allergies,myself,NA,"grew-up-with-pet,currently-have-pet",250,1e4,NA,2,inside-only,"other-pets,wand-toys,toy-mice","nail-clip,scratching-post",none,other,NA,MEDIA,PA,19063,cat
