"GEOID","tract_unemployment_pct","tract_commute_public_transit","tract_median_income","tract_mean_income","tract_poverty_pct"
42101034900,175,408,46675,53801,16
42101035100,154,177,57500,67682,10.5
42101035200,147,230,69821,88963,5.9
42101035301,145,153,73002,79203,7.4
42101035302,249,192,51533,62263,10.1
42101035500,445,538,46198,71890,15.5
42101035601,160,229,52465,74290,8.5
42101035602,59,217,71622,97848,2.5
42101035800,389,155,57210,75052,7.1
42101035900,151,110,60271,74011,8.4
42101036100,228,157,59907,73329,14.3
42101036201,136,174,66685,74081,4.7
42101036202,157,353,47182,71044,9.3
42101036301,75,176,65893,80678,10.8
42101036302,97,293,54099,65354,5.5
42101036502,139,165,79292,87914,6.7
42101036600,56,266,109609,144727,4.8
42101036700,144,367,96587,127258,6
42101036900,106,307,43281,92588,45.1
42101037200,268,728,60530,81831,13.9
42101037300,72,820,79042,111922,2.5
42101037500,207,189,62941,84047,23.4
42101037600,260,374,50556,70319,37.3
42101037700,504,403,19286,27624,45.2
42101037800,131,326,52813,76111,17.9
42101037900,256,270,51250,65601,12.4
42101038000,112,122,40161,50271,28.7
42101038200,157,233,28476,43801,32
42101038400,79,77,83646,102155,4.5
42101038600,46,73,148438,239264,3
42101038800,170,483,72386,118873,6.7
42101039000,1089,703,28671,43196,36.9
42101980000,8,38,69219,109385,4.9
42101980100,0,4,100156,97549,13.3
42101980200,5,22,106875,104898,11.5
42107000700,135,12,45789,55349,21.6
42119090700,13,0,45135,56910,22.4
42133010510,161,35,102500,165770,1.6
42133023301,91,0,89632,99237,2.5
